food_id,name,category,serving_amount,serving_unit,serving_weight_g,kcal,protein_g,fat_g,carb_g,sodium_mg,source_type,source_publisher,source_url,accessed_at,notes
lxj-lu-ji-tui,卤鸡腿,main_dish,1,份,65,129,14,7,2,,third_party,FatSecret,https://www.fatsecret.cn/热量营养/老乡鸡/卤鸡腿/1份,2026-07-02,钠含量未公开
lxj-cong-you-cai-tai,葱油菜苔,vegetable,100,克,100,83,2.3,5.9,4.2,,third_party,FatSecret,https://www.fatsecret.cn/热量营养/老乡鸡/葱油菜苔/100克,2026-07-02,钠含量未公开；门店实际份量未公开
report-8c6e659296,豉汁鱼块,main_dish,100,克,100,121,12.7,7.3,1.2,927,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E8%B1%89%E6%B1%81%E9%B1%BC%E5%9D%97.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-9812b5f4da,蒸嫩豆腐,vegetable,100,克,100,112,7.2,4.5,10.5,529,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E8%92%B8%E5%AB%A9%E8%B1%86%E8%85%90.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-ff6cdccd75,西兰花炒鸡胸肉,main_dish,100,克,100,94,8.3,5.2,3.5,261,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E8%A5%BF%E5%85%B0%E8%8A%B1%E7%82%92%E9%B8%A1%E8%83%B8%E8%82%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
lxj-san-hei-yuan-qi-fan,三黑元气饭,staple,1,份,,508,9,3,111,,third_party,FatSecret,https://www.fatsecret.cn/热量营养/老乡鸡/三黑元气饭/1份,2026-07-02,钠含量未公开；每份克重未公开
report-54f17fc712,紫薯杂粮饭,staple,100,克,100,168,3.1,1.4,35.1,0,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E7%B4%AB%E8%96%AF%E6%9D%82%E7%B2%AE%E9%A5%AD.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-87cd73db68,金牌老母鸡汤,soup,100,克,100,38,3.8,1.8,1.4,248,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%B1%A4/%E9%87%91%E7%89%8C%E8%80%81%E6%AF%8D%E9%B8%A1%E6%B1%A4.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
lxj-mi-zhi-lu-rou-fan,秘汁卤肉饭,staple,100,克,100,157,4.8,4.4,24.1,218,third_party,新京报转载稿,https://www.bjnews.com.cn/detail/1782531912129036.html,2026-07-02,门店实际份量未公开；外卖专供菜品
lxj-xian-dan-huang-shi-zi-tou,咸蛋黄狮子头,main_dish,100,克,100,224,11.7,18.9,2.2,525,third_party,新京报转载稿,https://www.bjnews.com.cn/detail/1782531912129036.html,2026-07-02,门店实际份量未公开；数值对应蒸制版
